position,title,year,duration,rating_value,rating_count,critic_rating_value,critic_count,directors,screenwriters,production_countries,world_premiere,polish_premiere,boxoffice,boxoffice_usa,boxoffice_outside_usa,budget,genres
142,Pirates of the Caribbean: Dead Man's Chest,2006,2h 30m,"7,8",431157,"6,8",55,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio']",['USA'],24.06.2006,21.07.2006,$1 066 179 747 ,$423 315 812 ,$642 863 935 ,$225 000 000,"['Fantasy', 'Przygodowy']"
143,Mandariinid,2013,1h 30m,"8,1",49359,"7,8",30,['Zaza Urushadze'],['Zaza Urushadze'],"['Estonia', 'Gruzja']",16.10.2013,06.06.2014,$1 024 132 ,$144 501 ,$879 631 ,,"['Dramat', 'Wojenny']"
144,The Reader,2008,2h 4m,"7,8",209873,"7,2",51,['Stephen Daldry'],['David Hare'],"['USA', 'Niemcy']",10.12.2008,13.03.2009,$108 902 486 ,$34 194 407 ,$74 708 079 ,$32 000 000,['Melodramat']
145,Unforgiven,1992,2h 11m,"7,9",94810,"8,4",56,['Clint Eastwood'],['David Webb Peoples'],['USA'],03.08.1992,31.12.1992,$159 167 799 ,$101 167 799 ,$58 000 000 ,$14 400 000,['Western']
146,The King's Speech,2010,1h 58m,"7,8",328633,"7,1",75,['Tom Hooper'],['David Seidler'],"['Wielka Brytania', 'Australia', 'USA']",06.09.2010,28.01.2011,$484 068 861 ,$138 797 449 ,$345 271 412 ,$15 000 000,"['Biograficzny', 'Dramat historyczny']"
147,Blow,2001,2h 4m,"7,8",226928,"6,5",33,['Ted Demme'],"['Nick Cassavetes', 'David McKenna']",['USA'],29.03.2001,19.10.2001,$83 282 296 ,$52 990 775 ,$30 291 521 ,$53 000 000,"['Biograficzny', 'Dramat', 'Kryminał']"
148,Rush,2013,2h 3m,"7,8",160369,"7,4",63,['Ron Howard'],['Peter Morgan'],"['USA', 'Niemcy', 'Wielka Brytania']",02.09.2013,08.11.2013,$96 983 009 ,$26 947 624 ,$70 035 385 ,$38 000 000,"['Biograficzny', 'Dramat', 'Sportowy']"
149,Dallas Buyers Club,2013,1h 57m,"7,8",183140,"7,5",70,['Jean-Marc Vallée'],"['Craig Borten', 'Melisa Wallack']",['USA'],07.09.2013,14.03.2014,$55 198 285 ,$27 298 285 ,$27 900 000 ,$5 000 000,"['Biograficzny', 'Dramat']"
150,The Wolf of Wall Street,2013,2h 59m,"7,7",492054,"8,2",95,['Martin Scorsese'],['Terence Winter'],['USA'],09.12.2013,03.01.2014,$406 878 233 ,$116 900 694 ,$289 977 539 ,$100 000 000,"['Biograficzny', 'Komedia kryminalna']"
151,Jagten,2012,1h 55m,"7,8",124311,"7,9",65,['Thomas Vinterberg'],"['Thomas Vinterberg', 'Tobias Lindholm']","['Dania', 'Szwecja', 'Belgia', 'Francja']",20.05.2012,15.03.2013,$15 886 373 ,$613 308 ,$15 273 065 ,$3 800 000,['Dramat obyczajowy']
152,Gone Girl,2014,2h 29m,"7,8",342780,"7,6",96,['David Fincher'],['Gillian Flynn'],['USA'],26.09.2014,10.10.2014,$369 330 363 ,$167 767 189 ,$201 563 174 ,$61 000 000,['Thriller']
153,What's Eating Gilbert Grape,1993,1h 58m,"7,8",305585,"7,5",55,['Lasse Hallström'],['Peter Hedges'],['USA'],01.10.1993,31.12.1993,$10 032 765 ,$11 000 000,,,['Dramat']
154,American Gangster,2007,2h 37m,"7,8",206212,"7,1",47,['Ridley Scott'],['Steven Zaillian'],"['USA', 'Wielka Brytania']",19.10.2007,25.01.2008,$269 755 430 ,$130 164 645 ,$139 590 785 ,$100 000 000,"['Dramat', 'Biograficzny', 'Kryminał']"
155,The Illusionist,2006,1h 50m,"7,8",292896,"6,3",44,['Neil Burger'],['Neil Burger'],"['USA', 'Czechy']",27.04.2006,30.03.2007,$87 892 388 ,$39 868 642 ,$48 023 746 ,$16 500 000,"['Fantasy', 'Kostiumowy']"
156,Kiler,1997,1h 44m,"7,7",463742,"7,2",71,['Juliusz Machulski'],['Piotr Wereśniak'],['Polska'],17.11.1997,,,,,,"['Komedia', 'Sensacyjny']"
157,The Mission,1986,2h 6m,"8,0",61491,"7,8",29,['Roland Joffé'],['Robert Bolt'],"['Wielka Brytania', 'Francja']",16.05.1986,31.12.1986,$17 502 499 ,$17 218 023 ,$284 476 ,$24 500 000,"['Dramat', 'Kostiumowy']"
158,The Grand Budapest Hotel,2014,1h 40m,"7,8",284448,"7,8",91,['Wes Anderson'],['Wes Anderson'],"['USA', 'Niemcy']",06.02.2014,28.03.2014,$173 082 189 ,$59 301 324 ,$113 780 865 ,$25 000 000,"['Dramat', 'Komedia']"
159,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,"7,7",363649,"6,8",64,['David Yates'],['Steve Kloves'],"['USA', 'Wielka Brytania']",07.07.2011,15.07.2011,$1 342 480 797 ,$381 447 587 ,$961 033 210 ,$125 000 000,"['Familijny', 'Fantasy', 'Przygodowy']"
160,Gadające głowy,1980,14m,"8,1",46614,"8,1",48,['Krzysztof Kieślowski'],['Krzysztof Kieślowski'],['Polska'],sierpnia 1980,,,,,,"['Dokumentalny', 'Krótkometrażowy']"
161,Chłopi,2023,1h 56m,"7,9",95458,"7,4",77,"['DK Welchman', 'Hugh Welchman']","['DK Welchman', 'Hugh Welchman']","['Polska', 'Litwa', 'Serbia']",08.09.2023,13.10.2023,$10 052 539 ,$155 188 ,$9 897 351 ,,"['Animacja', 'Dramat']"
162,David Attenborough: A Life On Our Planet,2020,1h 23m,"8,3",26710,"7,6",16,"['Alastair Fothergill', 'Jonathan Hughes']",[],['Wielka Brytania'],28.09.2020,04.10.2020,,,,,"['Przyrodniczy', 'Dokumentalny']"
163,Casablanca,1942,1h 42m,"7,9",96647,"8,3",60,['Michael Curtiz'],"['Casey Robinson', 'Murray Burnett']",['USA'],26.11.1942,25.09.2009,$4 571 400 ,$4 219 709 ,$351 691 ,$950 000,"['Kryminał', 'Melodramat']"
164,The Boondock Saints,1999,1h 50m,"7,8",169058,"7,1",30,['Troy Duffy'],['Troy Duffy'],"['Kanada', 'USA']",04.08.1999,10.08.2001,$6 000 000,,,,['Sensacyjny']
165,Inside Out,2015,1h 34m,"7,8",258557,"8,4",89,['Pete Docter'],"['Pete Docter', 'Meg LeFauve']",['USA'],18.05.2015,01.07.2015,$858 848 019 ,$356 921 711 ,$501 926 308 ,$175 000 000,"['Animacja', 'Komedia']"
166,Samsara,2011,1h 39m,"8,2",36817,"7,6",13,['Ron Fricke'],"['Ron Fricke', 'Mark Magidson']","['USA', 'Indonezja', 'Singapur', 'Tajlandia', 'Kenia', 'Dania', 'Brazylia', 'Jordania', 'Zjednoczone Emiraty Arabskie', 'Arabia Saudyjska', 'RPA', 'Włochy', 'Ghana', 'Egipt', 'Chiny', 'Japonia', 'Korea Południowa']",11.09.2011,,$4 426 444 ,$2 672 413 ,$1 754 031 ,$4 000 000,['Dokumentalny']
167,Róża,2011,1h 38m,"7,8",141707,"8,0",69,['Wojciech Smarzowski'],['Michał Szczerbic'],['Polska'],09.06.2011,03.02.2012,$2 339 514 ,$2 339 514 ,,,['Dramat']
168,Sherlock Holmes,2009,2h 8m,"7,7",451977,"6,9",68,['Guy Ritchie'],"['Michael Robert Johnson', 'Simon Kinberg']","['USA', 'Niemcy', 'Australia', 'Wielka Brytania']",14.12.2009,15.01.2010,$524 028 679 ,$209 028 679 ,$315 000 000 ,$90 000 000,"['Kryminał', 'Przygodowy']"
169,Cafarnaúm,2018,2h,"8,2",32880,"6,9",55,['Nadine Labaki'],"['Nadine Labaki', 'Khaled Mouzanar']","['Liban', 'USA']",17.01.2018,22.02.2019,$64 417 003 ,$1 661 096 ,$62 755 907 ,$4 000 000,['Dramat']
170,Symetria,2003,1h 39m,"7,7",253572,"6,8",44,['Konrad Niewolski'],['Konrad Niewolski'],['Polska'],17.09.2003,,,,,,['Dramat']
171,Krótki film o zabijaniu,1987,1h 24m,"7,9",78237,"8,2",56,['Krzysztof Kieślowski'],"['Krzysztof Kieślowski', 'Krzysztof Piesiewicz']",['Polska'],11.03.1988,,,,,,"['Dramat', 'Psychologiczny']"
172,Changeling,2008,2h 20m,"7,8",192055,"7,2",38,['Clint Eastwood'],['J. Michael Straczynski'],['USA'],20.05.2008,27.02.2009,$113 398 237 ,$35 739 802 ,$77 658 435 ,$55 000 000,['Dramat obyczajowy']
173,Kimi no Na wa.,2016,1h 46m,"8,2",30919,"7,2",20,['Makoto Shinkai'],['Makoto Shinkai'],['Japonia'],26.08.2016,,$405 340 703 ,$5 017 246 ,$400 323 457 ,,"['Fantasy', 'Melodramat', 'Anime']"
174,Edward Scissorhands,1990,1h 45m,"7,7",410450,"7,4",75,['Tim Burton'],"['Tim Burton', 'Caroline Thompson']",['USA'],06.12.1990,,$86 024 005 ,$56 362 352 ,$29 661 653 ,$20 000 000,"['Dramat', 'Fantasy']"
175,A Bronx Tale,1993,2h 1m,"7,9",74924,"7,1",24,['Robert De Niro'],['Chazz Palminteri'],['USA'],14.09.1993,18.08.1995,$17 287 898 ,$22 000 000,,,"['Dramat', 'Gangsterski']"
176,Loving Vincent,2017,1h 35m,"7,9",86827,"6,7",50,"['DK Welchman', 'Hugh Welchman']","['Hugh Welchman', 'DK Welchman']","['Polska', 'Wielka Brytania', 'USA', 'Holandia', 'Szwajcaria']",12.06.2017,06.10.2017,$42 187 665 ,$6 735 118 ,$35 452 547 ,$5 500 000,"['Animacja', 'Dramat', 'Kryminał']"
177,The Dark Knight Rises,2012,2h 45m,"7,7",317947,"6,6",76,['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan']","['USA', 'Wielka Brytania']",16.07.2012,27.07.2012,$1 081 169 825 ,$448 149 584 ,$633 020 241 ,$250 000 000,"['Akcja', 'Sci-Fi']"
